ticker,ipo_date,board_note
BUVA,2010-07-12 00:00:00,PENGEMBANGAN
BVIC,1999-06-30 00:00:00,UTAMA
BWPT,27 Okt 2009,UTAMA
BYAN,12 Agt 2008,UTAMA
CANI,2014-01-16 00:00:00,PEMANTAUAN KHUSUS
CASS,05 Des 2011,UTAMA
CEKA,1996-07-09 00:00:00,PENGEMBANGAN
CENT,2001-11-01 00:00:00,PENGEMBANGAN
CFIN,27 Agt 1990,UTAMA
CINT,2014-06-27 00:00:00,PENGEMBANGAN
CITA,2002-03-20 00:00:00,UTAMA
CLPI,2001-11-30 00:00:00,PENGEMBANGAN
CMNP,1995-01-10 00:00:00,UTAMA
CMPP,08 Des 1994,PEMANTAUAN KHUSUS
CNKO,2001-11-20 00:00:00,PEMANTAUAN KHUSUS
CNTX,22 Mei 1979,PEMANTAUAN KHUSUS
COWL,19 Des 2007,PEMANTAUAN KHUSUS
CPIN,1991-03-18 00:00:00,UTAMA
CPRO,2006-11-28 00:00:00,PENGEMBANGAN
CSAP,12 Des 2007,PENGEMBANGAN
CTBN,1989-11-28 00:00:00,PENGEMBANGAN
CTRA,1994-03-28 00:00:00,UTAMA
CTTH,1996-07-03 00:00:00,PENGEMBANGAN
DART,08 Mei 1990,PENGEMBANGAN
DEFI,2001-07-06 00:00:00,PENGEMBANGAN
DEWA,2007-09-26 00:00:00,UTAMA
DGIK,19 Des 2007,PENGEMBANGAN
DILD,1991-09-04 00:00:00,UTAMA
DKFT,1997-11-21 00:00:00,PENGEMBANGAN
DLTA,1984-02-27 00:00:00,UTAMA
DMAS,29 Mei 2015,UTAMA
DNAR,2014-07-11 00:00:00,PENGEMBANGAN
DNET,11 Des 2000,UTAMA
DOID,2001-06-15 00:00:00,UTAMA
DPNS,08 Agt 1990,PENGEMBANGAN
DSFI,2000-03-24 00:00:00,PENGEMBANGAN
DSNG,2013-06-14 00:00:00,UTAMA
DSSA,10 Des 2009,UTAMA
DUTI,1994-11-02 00:00:00,PENGEMBANGAN
DVLA,1994-11-11 00:00:00,PENGEMBANGAN
DYAN,2013-03-25 00:00:00,PENGEMBANGAN
ECII,2013-07-03 00:00:00,PENGEMBANGAN
EKAD,14 Agt 1990,PENGEMBANGAN
ELSA,2008-02-06 00:00:00,UTAMA
ELTY,30 Okt 1995,PEMANTAUAN KHUSUS
EMDE,2011-01-12 00:00:00,PENGEMBANGAN
EMTK,2010-01-12 00:00:00,UTAMA
ENRG,2004-06-07 00:00:00,UTAMA
EPMT,01 Agt 1994,PENGEMBANGAN
ERAA,14 Des 2011,UTAMA
ERTX,21 Agt 1990,PENGEMBANGAN
ESSA,2012-02-01 00:00:00,UTAMA
ESTI,13 Okt 1992,PENGEMBANGAN
ETWA,16 Mei 1997,PEMANTAUAN KHUSUS
EXCL,2005-09-29 00:00:00,UTAMA
FAST,11 Mei 1993,PENGEMBANGAN
FASW,19 Des 1994,PEMANTAUAN KHUSUS
FISH,2002-01-18 00:00:00,PENGEMBANGAN
FMII,2000-06-30 00:00:00,PENGEMBANGAN
FORU,2002-01-17 00:00:00,PENGEMBANGAN
FPNI,2002-03-21 00:00:00,PENGEMBANGAN
GAMA,2012-07-11 00:00:00,PEMANTAUAN KHUSUS
GDST,23 Des 2009,PENGEMBANGAN
GDYR,22 Des 1980,PENGEMBANGAN
GEMA,12 Agt 2002,PENGEMBANGAN
GEMS,2011-11-17 00:00:00,UTAMA
GGRM,27 Agt 1990,UTAMA
GIAA,2011-02-11 00:00:00,PEMANTAUAN KHUSUS
GJTL,08 Mei 1990,UTAMA
GLOB,2012-07-10 00:00:00,PEMANTAUAN KHUSUS
GMTD,11 Des 2000,PENGEMBANGAN
GOLD,2010-07-07 00:00:00,PENGEMBANGAN
GOLL,23 Des 2014,PEMANTAUAN KHUSUS
GPRA,10 Okt 2007,PENGEMBANGAN
GSMF,23 Okt 1989,PENGEMBANGAN
GTBO,2009-07-09 00:00:00,PENGEMBANGAN
GWSA,23 Des 2011,UTAMA
GZCO,15 Mei 2008,PENGEMBANGAN
HADE,2004-04-12 00:00:00,PEMANTAUAN KHUSUS
HDFA,10 Mei 2011,PENGEMBANGAN
HERO,21 Agt 1989,PENGEMBANGAN
HEXA,1995-02-13 00:00:00,UTAMA
HITS,15 Des 1997,PEMANTAUAN KHUSUS
HMSP,15 Agt 1990,UTAMA
HOME,2008-07-17 00:00:00,PEMANTAUAN KHUSUS
HOTL,2013-01-10 00:00:00,PEMANTAUAN KHUSUS
HRUM,06 Okt 2010,UTAMA
IATA,2006-09-13 00:00:00,PENGEMBANGAN
IBFN,22 Des 2014,PEMANTAUAN KHUSUS
