Ticker,Name,Sector,Business Type,Price,Quality Score,Safety Score,Value Score,Composite Score,F-Score,Altman Z,Earnings Yield (EBIT/EV),ROC (Greenblatt),Acquirers Multiple,Net-Net Pass,NCAV per Share,EPV per Share,IV Bear,IV Base,IV Bull,MOS Bear,MOS Base,MOS Bull,Blended IV,MOS Blended,Upside Blended,Verdict,Reasons,Red Flags,Comparables IV,Justified PB IV,Quarters Stale,Latest Filing,Peer Group,Peer Count,Peer PE Median,Peer EV/EBIT Median,Peer PB Median
ASLC,Autopedia Sukses Lestari Tbk.,Consumer Cyclicals,Ordinary,64.0,63.3,95.6,32.5,63.8,7,8.394844789778162,0.08223587303026375,0.07752799055514242,12.16014329454481,False,32.38734288201223,48.3887298091494,83.21261026946156,121.32514779475994,161.57716340265583,0.2308858021307914,0.47249188512619167,0.6039044215641427,78.3678314139572,0.18333838202135466,0.22449736584308133,WATCH,MOS 18% attractive but short of buy threshold 30%,,51.606867451403716,,0.45,2026-06-30,Consumer Cyclicals | Retailing,18,10.694931239689799,10.050352905588877,1.422027519184855
ASLI,Asri Karya Lestari Tbk.,Industrials,Cyclical,197.0,30.0,59.3,32.5,40.6,2,9.560626863802483,-0.0798729682003651,-0.2724405232100376,-12.519880286550174,False,10.324673237126893,28.448014227732706,18.736657339444847,31.017473831066795,44.42125043427523,-9.514148624860157,-5.351258683184145,-3.4348143754187457,45.416432626177425,-1.0,-0.7694597328620435,SKIP,MOS -100% below watch threshold 10%,Interest coverage -18.4x,83.2964358203257,,1.45,2026-03-31,Industrials | Industrial Services | Business Support Services | Business Support Services,10,13.35995628193082,9.538398395217746,1.4057675482565506
ASMI,Asuransi Maximus Graha Persada Tbk.,Financials,Financial,16.0,85.0,81.5,100.0,88.8,4,,,0.022101442618613368,-4.368595065937116,False,,12.245921914021343,15.485179922073478,22.28243904879019,29.461267807644184,-0.03324598619565717,0.28194575266352145,0.45691407089247693,52.46147496120223,0.6950142935967247,2.2788421850751392,WATCH,"Cheap and sound, but flagged: Trailing EBIT 2.7x mid-cycle - possible peak earnings",Trailing EBIT 2.7x mid-cycle - possible peak earnings,44.51622280418995,60.406727118214505,2.43,2025-12-31,Financials | Insurance | Insurance | General Insurance,7,10.281517474681191,,0.5473303505986757
ASPI,Andalan Sakti Primaindo Tbk.,Industrials,Cyclical,428.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Industrials | Industrial Services | Business Support Services | Business Support Services,10,13.35995628193082,9.538398395217746,1.4057675482565506
ASPR,Asia Pramulia Tbk.,Basic Materials,Cyclical,154.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Basic Materials | Containers & Packaging | Containers & Packaging | Containers & Packaging,9,19.006084751788784,13.236591015696982,0.9401486583379153
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate,Cyclical,126.0,50.0,48.8,84.2,61.0,8,2.2490754115999136,0.13056244786618135,0.05171339613048503,7.659170123900709,False,-395.2316156757153,131.9806659996591,,143.6265716566564,302.92040592687005,,0.12272500452627425,0.5840491510815601,162.43180804146309,0.2242898634248,0.28914133366240535,WATCH,MOS 22% attractive but short of buy threshold 30%,Net debt/EBITDA 4.9x,225.72053570100755,,0.45,2026-06-30,Properties & Real Estate | Real Estate | Real Estate Development | Real Estate Development,35,12.379916854923529,9.504502268830333,0.7706297288148782
ASRM,Asuransi Ramayana Tbk.,Financials,Financial,270.0,15.0,66.7,57.5,46.4,3,,,,,False,,374.30674717882727,227.65167302629743,370.09025458171146,525.5534461495633,-0.18602247201060831,0.2704482307831555,0.486255866119537,269.84620390180544,-0.000569939824873455,-0.000569615178498406,SKIP,MOS -0% below watch threshold 10%,,217.04442023306547,322.64798757054547,1.45,2026-03-31,Financials | Insurance | Insurance | General Insurance,7,10.281517474681191,,0.5473303505986757
ASSA,Adi Sarana Armada Tbk.,Transportation & Logistic,Cyclical,645.0,51.7,51.0,84.2,62.3,9,1.594270694129892,0.1445233824489075,0.14598169257594304,6.91929557041418,False,-866.5415330251138,,,,,,,,886.8143423685765,0.27267752765783976,0.3749059571605837,WATCH,MOS 27% attractive but short of buy threshold 30%,,886.8143423685765,,0.45,2026-06-30,Transportation & Logistic | Logistics & Deliveries | Logistics & Deliveries | Logistics & Deliveries,7,9.052415583885466,6.788313476605148,1.053034918368662
ATAP,Trimitra Prawara Goldland Tbk.,Properties & Real Estate,Cyclical,580.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Properties & Real Estate | Real Estate | Real Estate Development | Real Estate Development,35,12.379916854923529,9.504502268830333,0.7706297288148782
ATIC,Anabatic Technologies Tbk.,Technology,Ordinary,470.0,45.0,55.6,68.8,56.5,7,0.6443440089587672,0.17752932829433246,0.5445192966244335,5.632872098417805,False,-42.33005765524321,495.1470854824905,560.2852798999745,1189.0089084358654,1866.197836136319,0.1611416239885738,0.6047128018424333,0.7481510315256479,759.676878273672,0.38131590753683103,0.6163337835610041,BUY,"MOS 38%, quality and balance sheet both pass",,443.08733992181635,,0.45,2026-06-30,Technology | Software & IT Services | IT Services & Consulting | IT Services & Consulting,5,7.905805643427312,6.074486307476839,2.0568949537989996
