Ticker,PBV x ROE,Close Price,Price to Equity Discount (%),Relative PE ratio (TTM),EPS Growth,Debt to Total Assets Ratio,Liquidity Differential,CCE,Operating Efficiency,Dividend Payout Efficiency,Yearly Price Change,Composite Rank,Net Debt to Equity
AGRO,-0.21888749685657957,154.0,-22.39164262107203,-0.5885397461653978,-0.6007188684234185,0.0028408403578126912,,0.06692117744424197,,0.0,-0.29357798165137616,0.606,-0.2785296118770985
AGRS,0.015153174032430845,62.0,97.09535695644044,1.3181272460531817,,0.22475545945042225,,0.09804830374411509,,0.0,-0.046153846153846156,0.4734,0.5120723489507412
AHAP,,94.0,,,,,,,,,0.40298507462686567,0.3508,
AIMS,,406.0,,,,,,,,,0.24539877300613497,0.0652,
AISA,0.027690035079323622,117.0,166.7691538993127,0.3937485855479951,2.6624028690974297,0.11247988163640847,0.9533349456116126,0.06887882491963702,0.052195058484193785,0.0,-0.09302325581395349,0.7509,0.08306078002022156
AKKU,,38.0,,,,,,,,,0.4074074074074074,0.216,
AKPI,0.0029566768016543623,510.0,485.64615130867435,0.7651371595823646,,0.34305771033592175,1.2719387857474305,0.013566036084895384,0.05080821384308949,0.15990457612438397,-0.1282051282051282,0.6065,0.6655164191300869
AKRA,0.4785380750509706,1415.0,-53.747625652903054,0.7579301320579688,0.3699502869091688,0.13880672063939573,1.3255144924805575,0.22562998601818235,0.04871118230844581,0.6903335776848071,0.10116731517509728,0.6414,-0.26328622068648777
AKSI,,228.0,,,,,,,,,-0.09523809523809523,0.1508,
ALDO,0.16299342584601492,825.0,-50.143032559045054,1.9151020867479167,,0.2947445574516095,1.2409791416401832,0.029801919246017397,0.11827522673189446,0.014958713692922338,0.676829268292683,0.4704,0.5206245937102718
ALII,1.2485383124923344,810.0,-83.27943296923226,2.222848475812448,0.4160610170578169,0.09815504149450147,1.6243610955949572,0.01852184304612306,0.40892841056964235,0.4597846385820732,0.40869565217391307,0.4058,0.11754436087946134
ALKA,,2150.0,,,,,,,,,5.891025641025641,0.5091,
ALMI,-0.8690549343329017,74.0,-70.87243428234741,-1.0523449565543235,0.9958521293676886,0.0,0.4012528656909316,0.00600921227386869,-1.0841116979848522,0.0,0.0,0.3347,-0.03306852502760718
ALTO,,18.0,,,,,,,,,0.0,0.0193,
AMAG,0.1008254481812721,386.0,13.785926876079024,0.5943831251827886,3.668998646495061,,,0.12744684830441372,,0.5953696415666223,0.10285714285714286,0.556,-0.3337036988718582
AMAN,0.061313691567863565,248.0,-11.540585311662733,1.6172164401757232,0.1200785564065615,0.20733086453745284,2.188397441250298,0.02304067429140714,0.3092243540195253,0.0,1.1946902654867257,0.4531,0.3260029137083348
AMAR,0.09102816782931807,222.0,-14.028721375600748,1.1532704436906522,0.07326577177230569,0.0015632763161974393,,0.10301062274691061,,0.773297197748138,0.04716981132075472,0.4765,-0.1950961919382715
AMFG,0.007066015963958347,3300.0,234.007256898857,0.984299615819298,,0.17190365017107387,1.7318465912006487,0.004231357459544502,0.07986221027410402,0.30753151475276774,0.08196721311475409,0.6344,0.2571660731173589
AMIN,,248.0,,,,,,,,,0.43352601156069365,0.2289,
AMMN,0.263610815337804,4470.0,-69.64738573909202,3.1949076235045495,2.9966715699718267,0.4622669211883911,2.621629332171101,0.05814183057498365,0.3891748111180426,0.0,-0.4614457831325301,0.3747,1.0320161190658554
AMMS,,210.0,,,,,,,,,0.5,0.2203,
AMOR,0.8353390432685357,362.0,-66.66093217750199,0.8356877761417517,0.23592606245721207,0.023366138009849626,2.355746434911066,0.23640743572667702,0.24831833086007268,0.9372000380819794,-0.28316831683168314,0.472,-0.2934785070862812
AMRT,0.7368527519511261,1410.0,-69.27698339499293,1.1155918024470919,-0.02618147360778245,0.0631725143475687,1.0360073606254334,0.09576727939407356,0.02693859073716669,0.42317554583453953,-0.40756302521008403,0.5102,-0.07835037137182585
ANDI,-0.6891969883300982,18.0,-33.783031094303354,-0.2567626033679342,-3.6564601888198682,0.5138439702203534,0.4423658169960404,0.007494309953572967,-0.25108326697275457,0.0,0.058823529411764705,0.3876,1.2442154174337592
ANJT,-0.2095731700431034,1480.0,-14.350054968389506,-0.5046890422889329,0.5252006918131729,0.2970424877764931,2.4909173273363687,0.22750987898425906,0.261228752166126,0.0,-0.16147308781869688,0.748,0.11532365615672682
ANTM,0.4772916841345776,3210.0,-49.640094966503014,0.6410030009052831,1.3560888773316884,0.13794621501865326,1.9769208141675552,0.1427982220961683,0.15302903100595164,0.5404305714468827,0.09183673469387756,0.6431,-0.007905654909852377
APEX,0.03399807451026187,180.0,97.30018872885515,0.5862791001769622,1.5069276330377575,0.4754943162735312,4.034657922294325,0.11504136371954951,0.14670955798429397,0.0,0.4634146341463415,0.6549,1.340602617146918
APIC,0.1404027546904313,590.0,-53.30471805013703,2.5344988735568914,,0.2095060187000538,1.627409554840574,0.03737897619985574,0.2137856074049094,0.0,-0.4511627906976744,0.4218,0.4383172989808028
APII,,189.0,,,,,,,,,0.11176470588235295,0.1914,
APLI,0.06087810031177365,264.0,-18.406520721291937,1.9144399054910088,3.4272605309747597,0.0633829838892447,2.422528876402502,0.07341721376359966,0.07398296970179305,4.115027686820457,-0.46987951807228917,0.3779,-0.01450638394954641
APLN,0.008789543514741767,131.0,294.298732062063,0.5678016545835911,0.3077506194646487,0.21292309585451907,1.968946519560078,0.046652412770373124,0.08333066084118594,0.0,0.2358490566037736,0.6598,0.34253466557758655
ARCI,1.1368561175834568,1290.0,-78.44593086203722,1.4690943518612076,1.0758534772961714,0.45543895628725434,1.0190976315309468,0.037187310516129564,0.40848678786778114,0.5944307488381805,0.9398496240601504,0.5228,1.132808236251299
AREA,,272.0,,,,,,,,,-0.38181818181818183,0.4225,
ARGO,3.891826260349063,1195.0,-95.79410046320139,11.27048230692121,-2.4811939356191686,0.5812108035273295,0.5166115969868228,0.061291364719967045,0.19637878239234252,0.0,-0.10486891385767791,0.2995,3.8528951218538134
ARII,0.04013137463142394,282.0,36.16683890826188,1.0427663026226233,1.1371627765989694,0.12750599410980498,0.8039696394271548,0.03613362598444488,0.04666063736836458,0.0,0.06015037593984962,0.7363,0.6725242199256302
